#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
I	1	230218	34945	220042	95.5798	5.69777	31.2	51
II	1	813184	107255	766246	94.2279	4.95104	31.4	57.8
III	1	316620	44310	293408	92.6688	5.24909	31.2	56.7
IV	1	1531933	191627	1433877	93.5992	4.69783	31.4	55.6
IX	1	439888	66560	418482	95.1338	5.68197	31.3	53.9
V	1	576874	82938	552850	95.8355	5.39917	31.4	56.8
VI	1	270161	38289	255970	94.7472	5.31821	31.3	55.8
VII	1	1090940	140678	1029748	94.3909	4.84335	31.4	57
VIII	1	562643	79397	535994	95.2636	5.2975	31.3	54.7
X	1	745751	102719	708266	94.9735	5.17218	31.4	54.7
XI	1	666816	89920	635810	95.3501	5.06404	31.4	58.8
XII	1	1078177	293976	982864	91.1598	10.2329	31.1	45.7
XIII	1	924431	121166	869438	94.0512	4.91995	31.4	58
XIV	1	784333	111324	751795	95.8515	5.32971	31.3	56.7
XV	1	1091291	138830	1015763	93.079	4.77853	31.4	56.8
XVI	1	948066	120881	891942	94.0802	4.78818	31.4	56.7
