#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
I	1	230218	31201	222047	96.4508	4.85405	29.7	51.5
II	1	813184	94420	774746	95.2731	4.16221	29.9	57.9
III	1	316620	40668	298660	94.3276	4.60249	29.7	56.4
IV	1	1531933	172666	1455367	95.002	4.04145	30	55.4
IX	1	439888	58060	421442	95.8067	4.73226	29.8	54.7
V	1	576874	73054	555505	96.2957	4.54157	29.9	57
VI	1	270161	35881	260984	96.6031	4.75997	29.8	56.5
VII	1	1090940	125989	1040200	95.349	4.14054	29.9	57.1
VIII	1	562643	71357	541067	96.1652	4.54585	29.8	54.5
X	1	745751	91304	715203	95.9037	4.38962	29.9	55.2
XI	1	666816	80428	642344	96.33	4.32467	29.9	58.9
XII	1	1078177	312680	1016851	94.3121	10.3931	29.5	36.4
XIII	1	924431	109225	882072	95.4178	4.23639	29.9	57.9
XIV	1	784333	96279	755453	96.3179	4.40141	29.9	56.8
XV	1	1091291	127240	1042334	95.5138	4.18197	29.9	56.9
XVI	1	948066	108895	902801	95.2255	4.1191	29.9	56.8
